Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
[BLASTED]	Ahyacinthus00209-RA	WW domain-containing oxidoreductase	567	6	6.00E-53	55.76								
[BLASTED]	Ahyacinthus00212-RA	ZP domain-containing protein-like	258	2	9.30E-14	90.71								
[BLASTED]	Ahyacinthus00215-RA	mediator of RNA polymerase II transcription subunit 12-like protein	2514	10	0	75.03								
[BLASTED]	Ahyacinthus00216-RA	mediator of RNA polymerase II transcription subunit 12-like protein	1811	10	0	79.39								
[BLASTED]	Ahyacinthus00388-RA	uncharacterized protein LOC114977559	24867	10	0	73.59								
[BLASTED]	Ahyacinthus00390-RA	ubiquitin carboxyl-terminal hydrolase 2-like	876	10	9.10E-20	76.87								
[BLASTED]	Ahyacinthus00393-RA	zinc finger protein 480-like	1314	3	0	93.38								
[BLASTED]	Ahyacinthus00400-RA	diamine acetyltransferase 2-like	524	10	2.70E-79	82								
[BLASTED]	Ahyacinthus00410-RA	homeobox protein zampogna-like	604	10	3.75E-141	59.6								
[BLASTED]	Ahyacinthus00414-RA	"glutathione reductase, mitochondrial-like"	525	10	1.17E-123	88.29								
[BLASTED]	Ahyacinthus00432-RA	potassium channel subfamily K member 18	1002	10	0	69.82								
[BLASTED]	Ahyacinthus00446-RA	5-hydroxytryptamine receptor 1A-like	369	10	3.98E-78	79.06								
[BLASTED]	Ahyacinthus00444-RA	"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C-like"	321	10	1.11E-46	72.7								
[BLASTED]	Ahyacinthus00457-RA	uncharacterized protein LOC114970234	1293	10	0	62.17								
[BLASTED]	Ahyacinthus00469-RA	uncharacterized protein LOC122948405	1029	10	3.66E-153	72.85								
[BLASTED]	Ahyacinthus00474-RA	zinc finger protein DZIP1L-like	1746	10	1.31E-159	71.3								
[BLASTED]	Ahyacinthus00480-RA	PREDICTED: uncharacterized protein LOC107356646	693	10	1.88E-161	76.28								
[BLASTED]	Ahyacinthus00479-RA	PREDICTED: uncharacterized protein LOC107350723	490	10	7.46E-41	70.43								
[BLASTED]	Ahyacinthus00481-RA	uncharacterized protein LOC114957228	1536	10	0	65.92								
[BLASTED]	Ahyacinthus00482-RA	uncharacterized protein LOC122952747	558	10	7.37E-64	62.19								
[BLASTED]	Ahyacinthus00486-RA	uncharacterized protein LOC114973550	725	10	6.50E-83	72.51								
[BLASTED]	Ahyacinthus00487-RA	Chromatin modification-related protein YNG2	576	10	1.03E-75	76.61								
[BLASTED]	Ahyacinthus00488-RA	uncharacterized protein LOC114954836	1191	10	0	61.43								
[BLASTED]	Ahyacinthus00484-RA	uncharacterized protein LOC122951252	837	10	1.95E-90	76.56								
[BLASTED]	Ahyacinthus00485-RA	uncharacterized protein LOC122962563	837	10	1.18E-57	74.31								
[BLASTED]	Ahyacinthus00483-RA	uncharacterized protein LOC114949756	627	10	2.46E-61	59.82								
[BLASTED]	Ahyacinthus00490-RA	uncharacterized protein LOC122957177	360	2	1.92E-60	90.2								
[BLASTED]	Ahyacinthus00491-RA	uncharacterized protein LOC122957832	2370	10	5.63E-179	91.35								
[BLASTED]	Ahyacinthus00489-RA	ER degradation-enhancing alpha-mannosidase-like protein 2	798	10	1.45E-74	88.74								
[BLASTED]	Ahyacinthus00494-RA	hypothetical protein AC249_AIPGENE25645	4848	10	0	67.24								
[BLASTED]	Ahyacinthus00493-RA	PREDICTED: uncharacterized protein K02A2.6-like	1920	10	6.84E-154	93.56								
[BLASTED]	Ahyacinthus00492-RA	Receptor-type tyrosine-protein phosphatase F	594	10	2.69E-47	52.5								
[BLASTED]	Ahyacinthus00496-RA	PREDICTED: uncharacterized protein K02A2.6-like	1320	10	1.19E-61	79.42								
[BLASTED]	Ahyacinthus00495-RA	Retrovirus-related Pol polyprotein from transposon 17.6	546	10	4.06E-76	78.8								
[BLASTED]	Ahyacinthus00497-RA	flocculation protein FLO11-like	288	10	1.27E-27	79.23								
[BLASTED]	Ahyacinthus00500-RA	uncharacterized protein LOC114575618	2592	10	2.91E-96	61.8								
[BLASTED]	Ahyacinthus00502-RA	uncharacterized protein LOC114963673	1338	10	0	75.95								
[BLASTED]	Ahyacinthus00499-RA	uncharacterized protein LOC114963673	1329	10	0	76.11								
[BLASTED]	Ahyacinthus00498-RA	uncharacterized protein LOC114972328	642	10	3.63E-97	76.28								
[BLASTED]	Ahyacinthus00501-RA	uncharacterized protein LOC114972328	474	10	5.91E-58	72.23								
[BLASTED]	Ahyacinthus00508-RA	uncharacterized protein LOC114965823	369	10	7.03E-67	68.02								
[BLASTED]	Ahyacinthus00507-RA	uncharacterized protein LOC114530409	1350	10	5.30E-81	50.93								
[BLASTED]	Ahyacinthus00506-RA	putative cyclin-dependent serine/threonine-protein kinase DDB_G0272797/DDB_G0274007	803	4	1.14E-78	84.24								
[BLASTED]	Ahyacinthus00505-RA	probable serine/threonine-protein kinase DDB_G0267686	480	8	1.55E-64	74.71								
[BLASTED]	Ahyacinthus00503-RA	flocculation protein FLO11-like	339	10	3.66E-23	72								
[BLASTED]	Ahyacinthus00504-RA	hypothetical protein AC249_AIPGENE27735	383	10	4.06E-53	78.43								
[BLASTED]	Ahyacinthus00511-RA	nucleoporin GLE1-like	312	7	3.96E-33	89.8								
[BLASTED]	Ahyacinthus00512-RA	zinc finger protein DZIP1L-like	2154	10	5.24E-175	65.96								
[BLASTED]	Ahyacinthus00513-RA	RNA-directed DNA polymerase from mobile element jockey	972	10	2.46E-166	70.14								
[BLASTED]	Ahyacinthus00514-RA	Transcription initiation factor TFIID subunit 5	663	10	1.80E-159	67.67								
[BLASTED]	Ahyacinthus00516-RA	uncharacterized protein LOC114964321	731	10	2.26E-34	76.25								
[BLASTED]	Ahyacinthus00518-RA	Retrovirus-related Pol polyprotein from transposon 17.6	909	10	3.92E-120	80.52								
[NO-BLAST]	Ahyacinthus00515-RA	---NA---	510											
[BLASTED]	Ahyacinthus00521-RA	protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1-like	807	10	2.97E-175	82.65								
[BLASTED]	Ahyacinthus00523-RA	uncharacterized protein LOC122950155	453	10	2.26E-92	87.89								
[BLASTED]	Ahyacinthus00522-RA	uncharacterized protein LOC114963152	720	10	3.22E-124	78.79								
[BLASTED]	Ahyacinthus00524-RA	Transposon Tf2-9 polyprotein	1104	10	1.69E-129	75.51								
[BLASTED]	Ahyacinthus00527-RA	uncharacterized protein LOC122961091	204	6	7.25E-29	98.23								
[BLASTED]	Ahyacinthus00528-RA	predicted protein	711	10	8.31E-118	75.28								
[BLASTED]	Ahyacinthus00530-RA	protein ALP1-like	1176	10	0	73.9								
[BLASTED]	Ahyacinthus00531-RA	uncharacterized protein LOC114952085	723	10	1.24E-149	67.05								
[BLASTED]	Ahyacinthus00532-RA	hypothetical protein AC249_AIPGENE16373	309	10	1.01E-05	59.37								
[BLASTED]	Ahyacinthus00533-RA	RNA-directed DNA polymerase from mobile element jockey	1362	10	3.36E-128	75.55								
[BLASTED]	Ahyacinthus00534-RA	PiggyBac transposable element-derived protein 1	1107	10	1.56E-155	68.76								
[BLASTED]	Ahyacinthus00537-RA	PREDICTED: uncharacterized protein LOC107349688	897	10	0	69.89								
[BLASTED]	Ahyacinthus00560-RA	PREDICTED: putative uncharacterized protein DDB_G0274435	201	2	4.93E-05	100								
[BLASTED]	Ahyacinthus00566-RA	ATP-dependent DNA helicase PIF1-like	2590	10	0	68.15								
[BLASTED]	Ahyacinthus00569-RA	uncharacterized protein LOC114950696	1533	10	0	68.93								
[BLASTED]	Ahyacinthus00571-RA	uncharacterized protein LOC114948385	1246	10	3.87E-169	77.72								
[BLASTED]	Ahyacinthus00572-RA	jerky protein homolog-like	747	10	3.78E-40	54.08								
[BLASTED]	Ahyacinthus00573-RA	Pogo transposable element with KRAB domain	336	10	1.47E-14	61.92								
[BLASTED]	Ahyacinthus00577-RA	PREDICTED: uncharacterized protein LOC107342913	702	10	1.42E-69	60.51								
[BLASTED]	Ahyacinthus00580-RA	integrin alpha-2-like	879	10	1.35E-170	74.73								
[BLASTED]	Ahyacinthus00581-RA	PREDICTED: uncharacterized protein LOC107350756	408	10	2.07E-60	73.67								
[BLASTED]	Ahyacinthus00570-RA	uncharacterized protein LOC122948806	453	9	2.29E-72	68.85								
[BLASTED]	Ahyacinthus00574-RA	beta-galactosidase-1-like protein 2	369	10	6.96E-58	81.67								
[BLASTED]	Ahyacinthus00575-RA	beta-galactosidase-1-like protein 2	78	1	1.73E-09	92								
[BLASTED]	Ahyacinthus00579-RA	beta-galactosidase-1-like protein 2	975	10	0	82.1								
[BLASTED]	Ahyacinthus00578-RA	PREDICTED: uncharacterized protein LOC107344362	885	10	1.35E-152	66.98								
[BLASTED]	Ahyacinthus00576-RA	putative RNA-directed DNA polymerase from transposon X-element	762	10	1.63E-107	57.53								
[NO-BLAST]	Ahyacinthus00582-RA	---NA---	291											
[BLASTED]	Ahyacinthus00584-RA	limbic system-associated membrane protein-like	366	10	5.45E-67	90.73								
[BLASTED]	Ahyacinthus00585-RA	Retrovirus-related Pol polyprotein	2184	10	3.65E-171	54.65								
[BLASTED]	Ahyacinthus00583-RA	Retrovirus-related Pol polyprotein from transposon 17.6	687	10	3.21E-46	69.35								
[BLASTED]	Ahyacinthus00596-RA	uncharacterized protein LOC122948220	1440	10	0	70.69								
[BLASTED]	Ahyacinthus00669-RA	"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like"	321	8	1.18E-30	69.87								
[BLASTED]	Ahyacinthus01194-RA	PREDICTED: uncharacterized protein LOC107351152	2023	10	1.99E-158	70.88								
[BLASTED]	Ahyacinthus01215-RA	PCI domain-containing protein 2-like	722	10	8.22E-120	75.08								
[BLASTED]	Ahyacinthus01224-RA	SPRY domain-containing protein 7-like	604	10	7.30E-124	80.7								
[BLASTED]	Ahyacinthus01243-RA	serine/threonine-protein kinase PAK 3-like isoform X1	1589	10	0	78.74								
[BLASTED]	Ahyacinthus01244-RA	UDP-glucuronic acid decarboxylase 1-like	1095	10	0	70.72								
[BLASTED]	Ahyacinthus01245-RA	uncharacterized protein LOC114953994 isoform X2	759	10	4.61E-79	64.88								
[BLASTED]	Ahyacinthus01249-RA	E3 ubiquitin-protein ligase TRIP12-like isoform X1	4611	10	0	67.93								
[BLASTED]	Ahyacinthus01252-RA	GRIP and coiled-coil domain-containing protein 2-like isoform X8	427	10	1.43E-19	53.48								
[BLASTED]	Ahyacinthus01263-RA	tubulin-specific chaperone cofactor E-like protein	1431	10	5.17E-61	80.58								
[BLASTED]	Ahyacinthus01272-RA	dual serine/threonine and tyrosine protein kinase-like isoform X1	2679	10	0	79.32								
[BLASTED]	Ahyacinthus01266-RA	porphobilinogen deaminase-like	823	10	9.59E-169	64.88								
[BLASTED]	Ahyacinthus01267-RA	transmembrane protein 147-like	756	10	1.42E-144	79.34								
[BLASTED]	Ahyacinthus01281-RA	degenerin deg-1-like	2013	10	0	68.94								
[BLASTED]	Ahyacinthus01285-RA	short-chain collagen C4-like	1071	10	1.30E-145	76.86								
[BLASTED]	Ahyacinthus01289-RA	calpain-5-like	975	10	9.90E-152	71.72								
[BLASTED]	Ahyacinthus01291-RA	metabotropic glutamate receptor 3-like	417	10	3.68E-25	66.41								
[BLASTED]	Ahyacinthus01292-RA	metabotropic glutamate receptor 3-like	1047	10	0	79.85								
[BLASTED]	Ahyacinthus01290-RA	fibroblast growth factor receptor 1-like	966	10	3.54E-81	64.79								
[BLASTED]	Ahyacinthus01302-RA	zinc finger protein ZPR1-like	2415	10	0	70.27								
[BLASTED]	Ahyacinthus01294-RA	cholesterol oxidase-like	1765	10	0	80.38								
[BLASTED]	Ahyacinthus01295-RA	cholesterol oxidase-like	1827	10	0	86.78								
[BLASTED]	Ahyacinthus01296-RA	cholesterol oxidase-like	1017	10	0	90.17								
[BLASTED]	Ahyacinthus01297-RA	cholesterol oxidase-like	1746	10	0	87.8								
[NO-BLAST]	Ahyacinthus01299-RA	---NA---	267											
[NO-BLAST]	Ahyacinthus01300-RA	---NA---	236											
[BLASTED]	Ahyacinthus01301-RA	mitochondrial import receptor subunit TOM40 homolog	1002	10	0	83.74								
[BLASTED]	Ahyacinthus01298-RA	cholesterol oxidase-like	363	10	2.69E-38	89.36								
[BLASTED]	Ahyacinthus01657-RA	sodium-coupled monocarboxylate transporter 1-like	1770	10	0	87.78								
[BLASTED]	Ahyacinthus01674-RA	NAD-dependent protein deacetylase sirtuin-2	1335	7	0	72.5								
[BLASTED]	Ahyacinthus01689-RA	cyclic nucleotide-gated cation channel alpha-3-like	2976	10	0	84.41								
[BLASTED]	Ahyacinthus25555-RA	uncharacterized protein LOC122957650	417	3	3.05E-78	82.16								
[BLASTED]	Ahyacinthus25558-RA	PREDICTED: uncharacterized protein LOC107332450	543	10	6.32E-116	68.61								
[BLASTED]	Ahyacinthus25563-RA	putative RNA-directed DNA polymerase from transposon BS	4578	10	0	55.9								
[BLASTED]	Ahyacinthus25565-RA	arp2/3 complex-activating protein rickA-like	393	8	7.27E-84	72.12								
[BLASTED]	Ahyacinthus25567-RA	uncharacterized protein LOC114972738	654	10	2.60E-44	59.58								
[BLASTED]	Ahyacinthus26424-RA	limbic system-associated membrane protein-like	408	10	1.44E-73	86.93								
[BLASTED]	Ahyacinthus25944-RA	uncharacterized protein LOC122948871	447	10	6.31E-70	75.84								
[BLASTED]	Ahyacinthus24609-RA	Macrophage scavenger receptor types I and II	306	10	8.56E-11	64.19								
[BLASTED]	Ahyacinthus25233-RA	conserved oligomeric Golgi complex subunit 2-like	2115	10	0	69.81								
[BLASTED]	Ahyacinthus25235-RA	putative diacyglycerol O-acyltransferase MT1468	1563	10	0	79.48								
[BLASTED]	Ahyacinthus25240-RA	zinc transporter 6-like isoform X2	286	10	2.02E-60	88.45								
[BLASTED]	Ahyacinthus25239-RA	putative nuclease HARBI1	354	10	7.35E-41	85.5								
[BLASTED]	Ahyacinthus25238-RA	uncharacterized protein LOC114977376	237	1	2.30E-05	51.56								
[BLASTED]	Ahyacinthus25841-RA	PREDICTED: uncharacterized protein LOC107338616 isoform X3	2160	10	0	89.49								
[BLASTED]	Ahyacinthus24646-RA	Transposon TX1 uncharacterized 149 kDa protein	591	10	3.95E-47	61.72								
[BLASTED]	Ahyacinthus24648-RA	uncharacterized protein LOC114950389	240	1	7.36E-10	70.37								
[BLASTED]	Ahyacinthus24652-RA	Transposon TX1 uncharacterized 149 kDa protein	1236	10	4.29E-44	64.22								
[BLASTED]	Ahyacinthus24661-RA	hypothetical protein AC249_AIPGENE9420	240	10	3.89E-31	69.09								
[BLASTED]	Ahyacinthus24665-RA	UPF0746 protein DDB_G0281095-like	465	10	2.04E-35	66.83								
[BLASTED]	Ahyacinthus25607-RA	LOW QUALITY PROTEIN: uncharacterized protein K02A2.6-like	2445	10	0	95.64								
[BLASTED]	Ahyacinthus26233-RA	dynein regulatory complex subunit 5-like isoform X2	927	10	1.86E-142	66.65								
[BLASTED]	Ahyacinthus21966-RA	PREDICTED: uncharacterized protein LOC107331193	1608	10	0	68.09								
[BLASTED]	Ahyacinthus17348-RA	protein-lysine methyltransferase METTL21D-like	714	10	4.80E-150	79.08								
[BLASTED]	Ahyacinthus17349-RA	multiple PDZ domain protein-like	5412	10	0	73.65								
[BLASTED]	Ahyacinthus17352-RA	Tyrosine-protein kinase transmembrane receptor ROR2	3771	10	0	74.25								
[BLASTED]	Ahyacinthus17354-RA	DDB1- and CUL4-associated factor 15-like	195	8	1.68E-25	88.88								
[BLASTED]	Ahyacinthus17391-RA	Potassium voltage-gated channel protein Shaw	1592	10	1.45E-176	77.3								
[BLASTED]	Ahyacinthus26855-RA	Retrovirus-related Pol polyprotein from transposon 17.6	288	10	6.97E-14	66.48								
[BLASTED]	Ahyacinthus26856-RA	Transposon Ty3-I Gag-Pol polyprotein	384	10	2.37E-15	50.4								
[BLASTED]	Ahyacinthus26198-RA	RNA-directed DNA polymerase from mobile element jockey	252	10	1.24E-31	73.74								
[BLASTED]	Ahyacinthus26694-RA	PREDICTED: uncharacterized protein LOC107344585	3024	10	0	73.89								
[BLASTED]	Ahyacinthus20058-RA	4-coumarate--CoA ligase 1-like	2045	10	3.33E-174	81.97								
[BLASTED]	Ahyacinthus20060-RA	claspin-like isoform X1	3228	10	0	77.46								
[BLASTED]	Ahyacinthus20061-RA	apoptosis regulatory protein Siva-like	276	8	2.09E-60	60.79								
[BLASTED]	Ahyacinthus20068-RA	matrix-remodeling-associated protein 5-like	2070	10	0	55.04								
[BLASTED]	Ahyacinthus20072-RA	Transposon Tf2-9 polyprotein	1101	10	7.33E-74	63.9								
[BLASTED]	Ahyacinthus20074-RA	putative RNA-directed DNA polymerase from transposon X-element	426	10	1.02E-66	76.2								
[BLASTED]	Ahyacinthus20076-RA	E3 ubiquitin-protein ligase TRIM71	3597	10	0	89.62								
[BLASTED]	Ahyacinthus20070-RA	cell wall protein RBR3-like	1345	10	0	71.98								
[BLASTED]	Ahyacinthus20075-RA	uncharacterized protein LOC122962836	1284	10	1.41E-148	64.72								
[BLASTED]	Ahyacinthus20077-RA	protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1-like	558	10	2.79E-112	80.93								
[BLASTED]	Ahyacinthus20079-RA	uncharacterized protein LOC114967598	216	10	4.09E-16	61.41								
[BLASTED]	Ahyacinthus20078-RA	zinc finger and SCAN domain-containing protein 29-like	405	10	3.47E-87	87.49								
[BLASTED]	Ahyacinthus20081-RA	Retrovirus-related Pol polyprotein from transposon 17.6	1308	10	2.64E-116	65.72								
[BLASTED]	Ahyacinthus20082-RA	uncharacterized protein LOC114971451	3873	10	0	85.21								
[BLASTED]	Ahyacinthus20083-RA	PREDICTED: uncharacterized protein LOC107344232	276	10	6.91E-58	85.8								
[BLASTED]	Ahyacinthus20084-RA	uncharacterized protein LOC122962128	264	10	1.26E-39	82.83								
[BLASTED]	Ahyacinthus20085-RA	Retrovirus-related Pol polyprotein from transposon 17.6	537	10	2.38E-47	75.3								
[BLASTED]	Ahyacinthus20080-RA	proteasome subunit alpha type-6	679	10	2.27E-142	84.81								
[BLASTED]	Ahyacinthus20086-RA	transmembrane protease serine 9-like isoform X2	180	10	2.91E-39	91.75								
[BLASTED]	Ahyacinthus20087-RA	transcription factor kayak-like	405	10	1.82E-39	67.11								
[BLASTED]	Ahyacinthus20090-RA	uncharacterized protein LOC114971744 isoform X1	216	7	3.34E-28	80.6								
[BLASTED]	Ahyacinthus20089-RA	lactoylglutathione lyase-like	402	10	5.79E-85	85.03								
[BLASTED]	Ahyacinthus20091-RA	PREDICTED: uncharacterized protein LOC107357809	1194	10	4.38E-80	61.78								
[BLASTED]	Ahyacinthus20088-RA	PREDICTED: uncharacterized protein LOC107327072	741	10	7.13E-135	59.05								
[BLASTED]	Ahyacinthus20094-RA	PREDICTED: uncharacterized protein LOC107328110	759	10	5.18E-173	65.32								
[BLASTED]	Ahyacinthus20095-RA	uncharacterized protein LOC122949463	1110	10	4.90E-118	65.41								
[BLASTED]	Ahyacinthus20092-RA	uncharacterized protein LOC114948204	1983	10	0	81.81								
[BLASTED]	Ahyacinthus20096-RA	uncharacterized protein LOC114950030	1033	10	3.80E-135	66.87								
[BLASTED]	Ahyacinthus20093-RA	Transposon Tf2-6 polyprotein	789	10	8.22E-104	62.22								
[BLASTED]	Ahyacinthus20098-RA	uncharacterized protein LOC122958161	3231	10	0	79.68								
[BLASTED]	Ahyacinthus20103-RA	uncharacterized protein LOC111347121	363	10	5.83E-23	59.3								
[BLASTED]	Ahyacinthus20104-RA	uncharacterized protein LOC114950030	267	10	1.09E-41	78.15								
[BLASTED]	Ahyacinthus20105-RA	RNA-directed DNA polymerase from mobile element jockey	228	10	2.49E-16	62.6								
[BLASTED]	Ahyacinthus20111-RA	uncharacterized protein LOC114967684	1840	10	0	68.63								
[BLASTED]	Ahyacinthus20097-RA	Retrovirus-related Pol polyprotein from transposon 17.6	408	10	7.09E-43	71.57								
[BLASTED]	Ahyacinthus20099-RA	Retrovirus-related Pol polyprotein	198	10	1.26E-31	71.18								
[BLASTED]	Ahyacinthus20100-RA	Retrovirus-related Pol polyprotein from transposon gypsy	399	10	3.75E-54	77.1								
[BLASTED]	Ahyacinthus20101-RA	Retrovirus-related Pol polyprotein	234	10	1.10E-21	67.54								
[BLASTED]	Ahyacinthus20102-RA	Retrovirus-related Pol polyprotein	465	10	5.11E-84	63.23								
[BLASTED]	Ahyacinthus20106-RA	ubiquitin-protein ligase E3A-like	471	10	3.86E-57	66.93								
[BLASTED]	Ahyacinthus20107-RA	uncharacterized protein LOC122963025	1085	10	1.25E-112	69.44								
[BLASTED]	Ahyacinthus20108-RA	Retrovirus-related Pol polyprotein	2991	10	0	84.6								
[BLASTED]	Ahyacinthus20109-RA	hypothetical protein pdam_00020485	783	10	2.21E-71	64.64								
[BLASTED]	Ahyacinthus20110-RA	Chromatin modification-related protein YNG2	1560	10	3.20E-50	71.68								
[BLASTED]	Ahyacinthus20118-RA	putative nuclease HARBI1	770	10	1.24E-94	71.62								
[BLASTED]	Ahyacinthus20123-RA	hypothetical protein pdam_00014700	288	2	4.66E-37	83.85								
[BLASTED]	Ahyacinthus20126-RA	Protein DD3-3	285	10	8.58E-13	66.48								
[BLASTED]	Ahyacinthus20113-RA	PREDICTED: uncharacterized protein LOC107336159	1800	10	0	73.62								
[BLASTED]	Ahyacinthus20114-RA	stress response protein NST1-like	309	10	2.89E-42	61.61								
[BLASTED]	Ahyacinthus20117-RA	uncharacterized protein LOC122958638	869	10	6.38E-96	64								
[BLASTED]	Ahyacinthus20120-RA	Exonuclease 1	708	10	1.10E-63	69.47								
[BLASTED]	Ahyacinthus20121-RA	Retrovirus-related Pol polyprotein from transposon 17.6	969	10	2.10E-138	54.73								
[BLASTED]	Ahyacinthus20122-RA	hypothetical protein AC249_AIPGENE3237	1794	10	9.27E-150	62.95								
[BLASTED]	Ahyacinthus20112-RA	Chromatin modification-related protein YNG2	760	10	3.81E-110	69.36								
[BLASTED]	Ahyacinthus20125-RA	Microfibrillar-associated protein 1	363	10	3.61E-18	67.04								
[BLASTED]	Ahyacinthus20124-RA	Retrovirus-related Pol polyprotein from transposon 412	309	10	1.13E-47	74.74								
[BLASTED]	Ahyacinthus20115-RA	"hypothetical protein pdam_00024183, partial"	210	2	1.81E-07	72.34								
[BLASTED]	Ahyacinthus20116-RA	Retrovirus-related Pol polyprotein from transposon 412	177	7	1.85E-17	73.08								
[BLASTED]	Ahyacinthus20127-RA	uncharacterized protein LOC114951935	696	10	3.98E-154	68.05								
[BLASTED]	Ahyacinthus20129-RA	PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC107334117	786	10	8.17E-31	75.41								
[BLASTED]	Ahyacinthus20130-RA	putative RNA-directed DNA polymerase from transposon BS	879	10	1.68E-84	61.85								
[BLASTED]	Ahyacinthus20128-RA	predicted protein	2169	10	4.29E-111	66.19								
[BLASTED]	Ahyacinthus20134-RA	piggyBac transposable element-derived protein 4-like	720	10	4.77E-100	70.73								
[BLASTED]	Ahyacinthus20131-RA	PREDICTED: uncharacterized protein LOC107327426	231	1	2.19E-18	75								
[BLASTED]	Ahyacinthus20132-RA	RNA-directed DNA polymerase from mobile element jockey-like	576	10	1.84E-58	63.95								
[BLASTED]	Ahyacinthus20133-RA	uncharacterized protein LOC114963589 isoform X1	633	10	3.79E-18	73.72								
[BLASTED]	Ahyacinthus20135-RA	PREDICTED: uncharacterized protein LOC107352382	1209	10	0	68.68								
[BLASTED]	Ahyacinthus20138-RA	MAM and LDL-receptor class A domain-containing protein 1-like isoform X3	1512	10	5.02E-160	72.2								
[BLASTED]	Ahyacinthus20139-RA	MAM and LDL-receptor class A domain-containing protein 1-like isoform X3	657	10	1.06E-145	91.66								
[BLASTED]	Ahyacinthus20140-RA	RecName: Full=CUB and peptidase domain-containing protein 1; Flags: Precursor	297	10	1.05E-38	90.77								
[BLASTED]	Ahyacinthus20141-RA	LOW QUALITY PROTEIN: uncharacterized protein LOC122960780	5221	10	0	85.96								
[BLASTED]	Ahyacinthus20137-RA	uncharacterized protein K02A2.6-like	1812	10	0	95.9								
[BLASTED]	Ahyacinthus20136-RA	uncharacterized protein LOC124454136	720	10	6.74E-62	50.43								
